77,Skywriter
77,Snooker
78,Fiji (130 XE)
78,HardBall
78,Jumpjet
78,Movie Musical Madness
78,Pacific Coast Hwy
78,Plant Panic
79,Crazy Dash 1
79,Crazy Dash 2
79,Crazy Dash 3
79,Crazy Dash 4
79,Crazy Dash 5
79,Crazy Dash 6
79,Crazy Dash 7
79,Knibble Dash 1
79,Knibble Dash 2
79,Knibble Dash 3
79,Knibble Dash 4
79,Knibble Dash 5
79,Knibble Dash 6
79,Knibble Dash 7
79,Knibble Dash 8
80,Koronis Rift (130 XE)
80,Livewire
80,Robbo SWS-11
80,Robbo SWS-12
80,Robbo SWS-13
80,Rum Runner
80,Stichting Pokey Game
80,The Potion
81,Apple Panic
81,Blinky's Scary School (Title Version)
81,Dives Ted Bell
81,Lord of the Orb
81,Meteor Storm
81,Sqoid
81,Super Bunny
81,Winter Olympics
82,Action Quest
82,Arex
82,"Aztec Challenge (1983, Title Version)"
82,Chopper Hunt
82,Combat Leader
82,Cosmic Glob
82,Crypts of Plumbous
82,Equestrian
82,Killer 'Thello (Multi-Joy)
82,Pharaoh's Pyramid
82,Survivor
82,Zombies
83,Avalon Quiz
83,Batty Builders
83,Darkness Hour
83,Guardians of the Gorn
83,Nautilus
83,Ozzy's Orchard
83,Plastron
83,Trong
83,Uczen Czarnoksieznika
83,Upior
84,Cavelord
84,C'est la Vie
84,Henri
84,Lawkeeper
84,Neuroid
84,Puzmania Schame
84,The Big House
85,Adventure 4: 'Voodoo Castle' (Text Only)
85,Adventure 7: 'Mystery Fun House' (Text Only)
85,Back Track
85,Battle Ships
85,Bewesoft's Race
85,Big Bird's Special Delivery
85,Caves of Madness
85,Dalej Niz Slonce
85,Jurassic Park
85,Laser Strike
85,Robal (Tajemnice Atari)
86,Chambers of Zorp
86,Cytron Masters
86,Destination: Unknown
86,Flip' des Pirates
86,Rat Race
86,Roundabout
86,The Comet Game
86,Video Slot Machine Poker
87,Arcade Fruit Machine
87,Evolution
87,Food Fight
87,Heart Break
87,Table Football M4+ (Multi-Joy)
87,Time and Magik Part 2 - Red Moon
88,Galahad and the Holy Grail
88,Homer's Honey Craze
88,Jocky Wilson's Darts Challenge
88,K-Razy Antiks
88,Lizard
88,Oczko
89,Canyon Runner
89,Joe Blade
89,Killa Cycle (Multi-Joy)
89,Oxygene
89,Twerps
89,"Warrior of RAS, Volume Two: Kaiv"
90,Lunar Leeper
90,Microx
90,Mission
90,Mr. Do !
90,Space Station 2048
90,Yogi's Great Escape
91,Alpha Shield
91,Fly Blaster
91,Krazy Katerpillars
91,On-Track
91,Operation Whirlwind
91,Orbit
91,Pogo Joe
91,Pool 1.5
91,Technoid
92,Battleroom (Multi-Joy)
92,Floor Walker
92,Genesis
92,Rescue at 94K
92,Sneakers
92,The Convicts
92,The Exterminator
92,Uridium
92,Yargos Dilemma Pt 1
92,Yogi Bear and Friends in the Greed Monster
93,California Gold
93,Cloud Hopper
93,Colossus Chess 4.1
93,Planet Attack
93,Qb'
93,Space Blaster
93,Space War
93,The Citadel
93,Viper
93,Xevious
93,Zardon
94,Classroom Chaos
94,Poussinet
94,Raid on Gravitron
94,Sky Blazer
94,Space Shot
94,Technoid (Intro Version)
94,Yogi's Great Escape (Title Version)
95,3-D Tic-Tac-Toe
95,Acey-Deucey
95,Bomb Down
95,Cooltris
95,Krazy Kopter
95,Livewire 2
95,Mathematics Action Games - Space Journey
95,Mysterious Adventure No. 11 'Waxworks'
95,Piranha
95,Raiders of Space
95,Round Up
95,Tetris 3D
95,The Fish-Adventures of Mr. Fish
95,Whoops 2
95,Xpoker
96,Fatum
96,Fire Bug
96,Hydraulik (ASF)
96,Krucjata
96,Micro Man
96,Rambug II
97,Droga Wojownika
97,Gato (130 XE)
97,Jumping Jack
97,Super mini Robbo
97,Vicky
98,235U
98,Diamond Trail
98,Megablast (130 XE for digitized Music)
98,Sexversi
98,The Wall
99,Black Lamp
99,Kupiec
99,Retrofire !
99,Vicky (Intro Version)
100,Dark Abyss
100,Hawkmoon
100,Kult
100,Lorien's Tomb
100,Zeus
101,Around the Planet
101,Axilox
101,Bank Bang !
101,Eureka
101,Fill'er Up ! II
101,Rockman
102,Adax
102,Dziedzictwo Gigantow
102,Jaffar
102,Midnight
102,The Last Guardian
102,Zbir
103,Barahir
103,Labirynty Robbo
103,Magia Krysztalu
103,Miny
103,Najemnik - Powrot
104,Deimos
104,Fred
104,Hydraulik
104,Major Bronx
104,Miecze Valdgira II
104,Najemnik
105,Captain Gather
105,Centurion - Defender of Rome
105,Gallahad (Intro Version)
105,Riot
105,Samurai's Game
105,The Kill Zone !
106,Balls 'n' Boobies
106,Carnival (PCS)
106,Fortress
106,Gallahad
106,Krazy Kopter version two
106,Lighthouse
106,Polish Game Robbo
106,Redhead's Revenge
106,Space Hawks of Avabana 4
106,Xenon Raid
107,Blip !
107,Cimex Rex
107,Fortune Hunter
107,Laserbase (Title Version)
107,Pro Mountain Bike Simulator
107,Space Bowl
107,Stack Up
107,Tigris
107,Wavy Navy
107,Wloczykij
108,Adventure 1: 'Adventureland' (Text Only)
108,Adventure in Time
108,Air Hockey
108,Air-Raid !
108,Air Support
108,Amazing
108,Analog Man
108,Android
108,Andromeda
108,Androton
108,Ankh
108,Jackpot
108,Kulki
109,Agent 009
109,Arachnid
109,Ardeny 1944
109,Astron IX
109,Atarivia
109,Aurum
109,Ball Trap
109,Block Puzzle
109,Boing II
109,Bricklayer's Nightmare
109,Czarny Orzel
110,Adventure 5: 'The Count' (Text Only)
110,Buffalo Stampede
110,Burgers !
110,Chomper
110,Cosmic Life
110,Cosmic ------> Zap
110,Craps Simulator
110,Crash Dive
110,Cyrtabor
110,Cywilizacja
110,Da' Fuzz
110,Floyd the Droid goes Blastin'
110,G Men
110,Patrol Nighthawk One
110,Perly Orckyego
111,Dagobar
111,Darg
111,Deluxe Invaders
111,Diamond Mine
111,Don't Shoot that Word !
111,Dr. Seuss Fix-Up the Mix-Up Puzzler
111,Drop it
111,Escape from Doomworld
111,Jetman
111,Klystron Raider
111,Mike's Casino
112,Dynakillers
112,Eryus
112,Fraction Fever
112,Global War
112,Golfer
112,Shatablast
112,"Warrior of RAS, Volume One: Dunzhin"
113,H2O
113,Helix
113,Hivmania
113,Hlavolam 1
113,Hlavolam 2
113,Juggler
113,K-Robbo No.1
113,K-Robbo No.2
113,K-Robbo No.3
113,K-Robbo No.4
113,Nemo's Vault
113,Questprobe 1: The incredible Hulk (Text Only)
113,Snowplow
114,Magia
114,Meltdown
114,Missmind -Sara-
114,Mogul Maniac
114,Monstrum
114,Montana Test #7
114,Shit
114,Sisyphos
114,Skarbnik
115,Muff
115,Mysterious Adventure No. 9 'Perseus & Andromeda'
115,Neron
115,Ninja Commando
115,Pillbox
115,Stone Fire
115,Stun Trap
115,Swiat Olkiego
116,Adventure 2: 'Pirate Adventure' (Text Only)
116,Pirates Cove
116,Przemytnik
116,Saigon the Final Days (Text Only)
116,Saper
116,Saper X1
116,Sargon III
116,Score Four
116,Seahorses
116,Star Trux
117,Sesame Street Letter-Go-Round
117,Shadow Hawk One
117,Sidewinder II
117,Simple Minds
117,Slide
117,Smus
117,Star Crystals
117,Static
117,Streets
118,Adventure 13: 'Sorcerer of Claymorgue Castle' (Text Only)
118,Saper (Latinus)
118,Sludge
118,SOS Saturn
118,Spark Bugs
118,Speed Matter
118,Stargate Courier
118,Star Intruder
118,Starion
118,Star Island
118,Star Rider
118,Stars
118,Trix
118,Troll War
119,Questprobe 2: Spiderman (Text Only)
119,Speed Hawk
119,Spy Games
119,Spy Master
119,Tax Dodge
119,Taxicab Hill
119,Tusker
120,Strzyga
120,Super Fortuna
120,Super Husa
120,Syn Boga Wiatru
120,T.G.I.F.
120,Thrax Lair
120,Tracer
120,Trial by Fire !
121,Blip
121,Mysterious Adventure No. 10 'Ten Little Indians'
121,Tactic
121,Tawerna
121,Tiger Attack
121,Troll War II
121,TT Racer
121,Tuptus
121,Up for Grabs
121,Zuzel
122,Mysterious Adventure No. 2 'The Time Machine'
122,Onslaught
122,Syntron
122,The Jet Action
122,Thinker
122,Timebound
122,Trion
122,Triumph
122,V.C.
122,Weakon
122,World Soccer
123,Change
123,Eggard
123,Electra
123,Eliminator
123,Eliza
123,Football
123,Hazard Run
123,Micro Shuttle
123,Slither
123,The E Factor
123,The Electroids
123,Turbican
124,Heavy Metal
124,Karate Champ
124,Kasiarz
124,Kayos
124,Kazoo
124,K-Star Patrol
124,Labyrinth (Dave Oblad)
124,Laser Ants
124,Lepus Revenge
124,Lifespan
124,Linking Logic
124,Lowca
125,Lucifer's Realm (Text Only)
125,Mathematics Action Games - Pyramid Puzzler
125,Olympic Dual
125,Pac-Man (Eric Wolz)
125,Pac Man
125,Pang
125,Plaque Man
125,Popcorn !
125,Prizrak Nuly
125,Pushy Pig
125,Puzzle Gates of the Incas
125,Quest for Quintana Roo
125,Rack 'em Up !
125,The Paradise Threat
126,3-D Red Baron Dogfight/Flight Simulator
126,Kickback
126,Logic Levels
126,Lunar Defender
126,Millipede (1984)
126,Munchy Madness
126,Munsiepede
126,My Jong
126,Myriapede
126,Nordic Ski
126,Operation: Novatari
126,Pac Man (Martin Day)
126,Road Block
126,Ruff and Reddy
127,Amazed
127,Boulder Max 1
127,Boulder Max 2
127,Emerald Isle (Text Only)
127,Meteor
127,Missile Command
127,Photo Finish - Greyhound Racing
127,Puzzle Panic
127,Railking
127,Rats' Revenge
127,Rebel Fighter
127,Snow Ball Fight
127,Spider Invasion
127,Swamp Chomp
128,Crack my Luggage
128,Demon Attack
128,Easy Money
128,Emil - Hilf
128,Escape from Satellite A19790C
128,Espial
128,Exocet Blastoff
128,Firebird
128,Math Busters
128,Maze War
128,Pushky
128,Rip Off !
128,Robbo V
128,The Robox Incident
128,Worm War 1
129,Demon Hunt
129,Fastgammon
129,Master Head
129,Mines !
129,Mysterious Adventure No. 8 'Wizard of Arkyz'
129,Renaissance
129,River Rat
129,Rome and the Barbarians
129,Water Ski School
129,Whiz Kid
129,Wisielec
129,Wladca
129,Worms ?
130,Contagion
130,Facemaker
130,Fast Eddie
130,Froggie
130,Galactic Avenger
130,Maneuvering
130,Moonbase IO
130,Moon Marauder
130,Mouskattack
130,Orc Attack
130,Revenge of the Plutonian Flies
130,Robin Wojownik Czasu
130,Rough Rider
130,The Clash of Kings
130,Warlok
131,Castle Attack
131,Catapede
131,Cellar Terror
131,Copter Chase
131,DiGi Duck
131,Fear
131,Gateway to Apshai
131,Getaway !
131,Ghost !
131,Ghost Encounters
131,Ghost Hunter
131,Go
131,Gun-Powder-Charlie
131,Killer 'Thello
131,Labyrinth
132,Battle in the B Ring
132,Bonk
132,Crab Nebula
132,Gossip
132,Gumball
132,Halftime Battlin' Bands
132,Kaboom !
132,Kapitan Planeta
132,Kids on Keys
132,K-Razy Kritters
132,M*A*S*H
132,Mysterious Adventure No. 1 'The Golden Baton'
132,The Last Warrior
132,Tron
133,ATARI Invaders
133,Atartris
133,Ballistic Interceptor
133,Bug Attack
133,Bug Hunt (130 XE)
133,Crazy Clown Jumper
133,Crowley Manor
133,Demon Racer
133,Dog Daze
133,Dreadnought
133,Genetic Drift
133,Hans Kloss
133,Lazer Type
133,The Duelists
134,ATARI Blackjack Casino
134,Attack at EP-CYG-4
134,Boulder Bombers
134,Boulders and Bombs
134,Bumperball
134,Caverns of Khafka
134,DeathLand
134,Demon Birds
134,Devil's Dare
134,Dungeonlords
134,Fishing Fun
134,Heartlight
134,Mysterious Adventure No. 7 'Feasibility Experiment'
134,Nineball
134,Puzzlemania
135,Aural Quest !
135,Escape from Epsilon
135,Hover Bovver
135,Jungle Boy
135,Memory Manor
135,Nightraiders
135,Pathfinder
135,Pengon
135,Professor I.Q.
135,Silicon Dreams Part 2 - Return to Eden (Text Only)
135,Space Ace
135,Space Shuttle
135,The Mad Netter
135,The Pond
135,Twogun
136,Excelsor II - Stratosphere
136,Robbo
136,Robot Battle
136,Sea Chase
136,Shoot
136,Shooting Arcade
136,Space Battle
136,Speed Run
136,Speed Ski
136,Story Machine
136,Table Football
136,The Car
136,The Softoy
137,Atlantis
137,Balloonier
137,Bootleg
137,Commando
137,Reverse
137,Starfire Warrior
137,Super Cubes
137,Tank vs Tank
137,Thrust
137,Wladca (Mirage)
138,Avalanche
138,Chase
138,Chess
138,David's Midnight Magic
138,Keychase
138,Lasermania
138,Lode Runner
138,Mysterious Adventure No. 5 'Escape from Pulsar 7'
138,Sub Attack
138,Thunderbombs
138,Winter Wally
139,Bank Panik
139,Earthquake 1906
139,Falcon
139,Final Flight !
139,Galleons
139,Gypsy
139,Jagdstaffel
139,Kampania Wrzesniowa
139,Knock !
139,Miner 2049er (Title Version)
139,Mysterious Adventure No. 3 'Arrow of Death (Pt.1)'
139,Quadron
140,Battleroom
140,Blinky's Scary School
140,Chopperoid
140,Doctor Boris !
140,Hearts
140,Maniac !
140,M.U.L.E. (Multi-Joy)
140,Panic
140,Pool 400
140,The Stop Gamo !
